source,target
298960,105232
105232,238330
105232,52204
105232,273871
105232,40297
105232,31936
105232,309274
105232,198023
105232,99038
95688,3393
95688,2662
3393,251419
3393,106351
3393,330726
3393,116277
3393,435653
3393,212417
3393,215071
3393,183375
3393,45507
3393,318789
3393,48595
3393,148898
3393,249453
3393,160295
3393,238286
3393,18019
3393,343644
3393,268290
3393,441384
3393,436629
3393,204547
3393,421213
3393,389059
3393,151137
3393,95288
3393,228269
3393,221414
3393,201676
3393,244392
3393,143693
3393,292794
3393,152429
3393,250244
3393,300916
3393,445787
3393,223241
3393,93923
3393,376858
3393,114500
3393,305371
3393,232238
3393,179062
3393,214024
3393,172449
3393,13525
3393,440081
3393,141860
3393,190533
3393,48960
3393,50977
3393,117344
3393,245545
3393,200488
3393,187178
3393,87495
3393,13329
3393,373603
3393,381077
3393,425313
3393,206115
3393,218054
3393,444975
3393,47271
3393,240327
3393,440205
3393,334961
3393,210941
3393,42595
3393,316698
3393,419514
3393,272676
3393,440564
3393,394750
3393,259993
3393,236207
3393,418807
3393,199169
3393,42424
3393,141307
3393,297368
3393,69408
3393,80658
3393,383965
3393,52085
3393,445406
3393,213962
3393,112110
3393,156571
3393,69628
3393,133906
3393,124357
3393,146214
3393,331391
3393,357217
3393,250089
3393,170662
3393,321239
3393,235488
3393,7201
3393,40901
3393,392729
3393,96335
3393,222593
3393,138565
3393,231306
3393,227398
3393,229510
3393,215551
3393,169249
3393,211457
3393,454091
3393,97928
3393,346495
3393,256058
3393,376143
3393,121894
3393,206516
3393,54936
3393,161178
3393,272256
3393,88992
3393,84098
3393,98699
3393,19206
3393,447269
3393,437260
3393,263910
3393,43280
3393,185961
3393,243347
3393,302304
3393,248819
3393,11118
3393,427049
3393,64522
3393,98286
3393,413001
3393,193251
3393,401336
3393,375797
3393,343464
3393,41067
3393,45255
3393,199220
3393,350269
3393,422653
3393,334749
3393,276314
3393,452524
3393,17976
3393,262237
3393,382268
3393,442030
3393,334218
3393,19543
3393,215349
3393,221764
3393,453884
3393,138669
3393,195006
3393,384453
3393,86216
3393,172848
3393,200522
3393,11151
3393,220210
3393,185416
3393,251261
3393,353192
3393,183407
3393,69294
3393,242704
3393,57013
3393,38001
3393,429376
3393,217125
3393,424921
3393,42285
3393,49253
3393,108620
3393,450083
3393,250086
3393,418112
3393,442538
3393,353982
3393,373541
3393,224125
3393,164028
3393,235199
3393,416160
3393,17201
3393,96265
3393,212059
3393,70584
3393,156834
3393,100734
3393,445711
3393,169333
3393,305751
3393,148712
3393,439052
3393,353296
3393,176683
3393,155703
3393,204950
3393,455572
